1193,nite twitterville  workout in the am  -ciao,0
1324,"@daNanner Night, darlin'!  Sweet dreams to you ",0
1332,Good morning everybody! ,0
1368,Finally! I just created my WordPress Blog. There's already a blog up on the Seattle Coffee Community  ... http://tinyurl.com/c5uufd,0
1578,kisha they cnt get over u til they get out frm under u just remember ur on top ,0
1595,"@nicolerichie Yes i remember that band, It was Awesome, Will you please reply ",0
1861,I really love reflections and shadows ,0
1889,@blueaero ooo it's fantasy?  i like fantasy novels   will check it out,0
1899,"@rokchic28 no probs, I sell nothing other than my blog http://snedwan.com  I'll have to get a listen to your band, on iTunes?",0
1900, you are worst.I hate you,0
